,tp,lnsp,temp19,temp9,temp2,temp0,u19,u9,u2,u0,v19,v9,v2,v0,sza,tp_mean,tp_sd,balloon,abs_gwmf
26,0.0003272665,11.522807,197.53297,246.19362,288.82104,299.49393,-0.01119257,-0.7433903,-6.2910476,-5.2553816,-2.7910783,-5.9768705,-0.60414064,0.77662843,95.699,0.0002464552,0.0003881327,1,0.0023979328
27,3.9571438e-05,11.525135,197.58249,246.6421,288.93893,299.21497,1.1458607,0.2819448,-5.6918592,-5.6492443,-2.4264448,-6.48321,-0.080519825,-0.13495564,81.199295,0.0003853616,0.000558182,1,0.0015852338
28,5.3474916e-05,11.525185,197.87543,246.56538,288.96335,299.43536,1.5009831,0.7584545,-6.04569,-5.5730543,-2.6424599,-6.511724,-0.3146803,0.08537984,66.70658,0.00045398067,0.0005715346,1,0.0011709422
29,0.00015614675,11.525233,198.16838,246.48866,288.98773,299.65576,1.8561054,1.2349641,-6.3995214,-5.496865,-2.8584752,-6.5402384,-0.54884076,0.30571532,52.104675,0.00038424935,0.00042456173,1,0.00133938
30,3.8501938e-05,11.52346,199.16438,246.12318,288.7799,299.66064,2.6257524,1.1574829,-7.047781,-6.4744196,-2.105014,-3.3077867,-0.8141074,0.24091078,37.611217,0.00022463742,0.00021794256,1,0.00074429315
31,0.00041068735,11.522642,199.51941,246.2292,288.8064,299.93057,2.554728,1.9477916,-7.635347,-6.683619,-2.7668846,-4.0180445,-0.43046445,0.49753684,23.495558,0.00031122402,0.00040857648,1,0.0013448602
32,2.6737458e-05,11.521824,199.87442,246.33522,288.83292,300.2005,2.4837034,2.7381003,-8.222913,-6.8928185,-3.4287553,-4.7283025,-0.046821456,0.75416285,11.86802,0.000509509,0.001184896,1,0.0008248507
33,2.9945953e-05,11.522617,200.5203,246.42868,288.6983,300.81778,2.0059025,1.2775788,-7.605646,-7.528165,-3.8780668,-3.056345,0.18388277,0.28497788,12.737786,0.00046916754,0.0011801234,1,0.0006610439
34,0.000109088825,11.522519,200.76231,246.42589,288.81616,300.91544,1.5332669,1.7553798,-7.102018,-7.1743336,-4.3697176,-2.6899834,-0.033860546,-0.039908964,24.89965,0.00035147992,0.00075022626,1,0.0015376329
35,9.7324344e-05,11.522421,201.00435,246.4231,288.93405,301.01306,1.0606313,2.2331808,-6.59839,-6.8205028,-4.861368,-2.3236215,-0.25160387,-0.3647958,39.021023,0.0003524211,0.0007221508,1,0.0008661259
36,6.41699e-06,11.521954,201.07271,246.26128,289.03098,301.5648,0.8591801,0.3749223,-5.5368967,-6.718486,-5.1093535,-2.470512,0.11907821,-0.7726325,53.490116,6.143199e-05,9.5706695e-05,1,0.00035310703
37,4.2779934e-06,11.522494,201.48631,246.18594,289.1112,301.5083,1.7566712,0.08953305,-5.8209944,-6.7753053,-5.315864,-2.7953987,0.31867623,-0.5013174,68.04175,5.527167e-05,7.6519726e-05,1,0.0005940667
38,6.938894e-18,11.523035,201.89992,246.11063,289.1914,301.45178,2.6541624,-0.1958562,-6.1050925,-6.832125,-5.5223746,-3.1202857,0.5182743,-0.23000233,82.480545,6.58811e-05,0.00016086108,1,0.00038801436
39,6.938894e-18,11.523913,202.14404,246.3952,289.12933,301.70917,3.3966908,-1.449761,-6.7146115,-6.3581977,-5.329689,-4.733487,0.8371127,0.1786984,97.006615,2.1946104e-05,3.0566134e-05,1,0.00076867803
40,6.938894e-18,11.5242605,202.12242,246.42241,289.20047,301.65405,3.918398,-1.7299849,-6.8424554,-6.359489,-5.474851,-4.916668,0.8915486,0.33422935,111.17592,2.5924637e-05,3.7369784e-05,1,0.00041527412
41,6.938894e-18,11.524296,202.06801,246.38892,289.1454,301.56964,4.5589094,-2.3420866,-7.1665854,-6.2949214,-5.8394847,-5.488676,1.0280701,0.72132856,124.75679,3.268387e-05,6.407291e-05,1,0.00041009887
42,6.938894e-18,11.524588,202.11893,246.31778,289.0812,301.5041,5.2175,-2.2865584,-7.055529,-6.319457,-6.216215,-5.9621816,0.9641296,0.8474814,137.2682,3.097267e-05,4.454609e-05,1,0.00039347386
43,4.2779934e-06,11.524195,201.8232,246.25919,288.8873,301.3423,5.3233914,-2.0463667,-6.7765965,-5.92172,-4.788787,-6.1427703,1.1594074,0.74552226,147.45752,4.7271827e-05,4.599788e-05,1,0.0004957517
44,7.4864884e-06,11.524598,201.4075,246.10783,289.07562,301.07306,5.7947354,-2.0192482,-4.250708,-5.819703,-4.193449,-5.8809595,1.6596985,0.16487344,152.75102,5.0223643e-05,6.66396e-05,1,0.00039443863
45,1.0694984e-06,11.524135,201.64813,246.04785,288.88034,300.9517,5.6126547,-1.9688853,-4.0260124,-5.4671636,-2.8541548,-6.1902933,1.8402872,-0.010530902,150.39569,5.133592e-05,7.080499e-05,1,0.0003584527
46,6.938894e-18,11.523864,202.69868,246.1138,288.7443,300.9858,6.200547,-1.6253752,-4.666221,-5.280381,-2.2886844,-6.0366154,2.4191728,0.13646509,141.76495,5.377438e-05,6.619185e-05,1,0.0003041212
47,6.938894e-18,11.523592,203.74922,246.17975,288.60825,301.01993,6.7884393,-1.2818649,-5.3064303,-5.093599,-1.723214,-5.882938,2.9980583,0.28346106,130.0431,5.9891903e-05,0.00011459154,1,0.0002029412
