,balloon,gwmf_v,gwmf_v_abs,gwmf_v_north,gwmf_v_south
0,1,-0.004952039,0.004418598,0.00040442534,0.0053564645
1,1,-0.00053572265,0.001379586,0.00071827625,0.001253999
2,1,0.000376866,0.00096521777,0.00066872285,0.00029185685
3,1,0.00056737976,0.0005844219,0.0005898066,2.2426837e-05
4,1,4.209792e-05,0.0006375926,0.00040221075,0.00036011284
5,1,0.00034329962,0.00045726378,0.00049534324,0.00015204365
6,1,0.00026534774,0.00041761895,0.00035858963,9.3241906e-05
7,1,-0.00014018269,0.00025809873,7.556817e-05,0.00021575086
8,1,0.00013418328,0.00022790344,0.00025992922,0.00012574594
9,1,-0.00024345556,0.00025492322,5.245965e-05,0.00029591523
10,1,-7.9097284e-05,0.00024766213,2.2855027e-05,0.00010195231
11,1,-5.7214285e-05,0.00038303836,0.00010668778,0.00016390206
12,1,0.00020421395,0.00037776455,0.0004204486,0.00021623466
13,1,0.00044200645,0.00027923915,0.0004781462,3.6139736e-05
14,1,0.00090524484,0.001456083,0.0010078766,0.00010263178
15,1,-0.00061228144,0.0045103193,0.00048269873,0.0010949802
16,1,0.0006157668,0.001557888,0.0008117742,0.00019600742
17,1,-0.0008702121,0.0009929324,0.00010194008,0.0009721522
18,1,-0.00011149351,0.0022283057,0.00029979507,0.00041128858
19,1,-0.00025971505,0.0019787455,0.00035065223,0.0006103673
20,1,-0.00039819436,0.0014047148,0.00074902445,0.0011472189
21,1,0.00018450142,0.0020541602,0.0017785353,0.0015940339
22,1,-3.6008543e-05,0.0026015285,0.0007453674,0.0007813759
23,1,-7.232942e-05,0.0018474712,0.00068594376,0.0007582732
24,1,-0.0016236901,0.0014775385,0.00022552928,0.0018492194
25,1,-0.0017154985,0.0010037571,1.6733073e-05,0.0017322316
26,1,-0.0022869979,0.0023979328,0.00023730795,0.0025243058
27,1,-0.0009740545,0.0015852338,0.00019426325,0.0011683177
28,1,0.00028793843,0.0011709422,0.00066301157,0.00037507314
29,1,0.0002544069,0.00133938,0.00046739128,0.00021298435
30,1,0.00040447927,0.00074429315,0.00061818305,0.0002137038
31,1,0.0005456273,0.0013448602,0.00071381417,0.00016818685
32,1,-8.285913e-05,0.0008248507,0.0003986153,0.00048147442
33,1,-7.628893e-05,0.0006610439,0.0003785758,0.00045486473
34,1,-0.00020787629,0.0015376329,0.00018584977,0.00039372608
35,1,-0.00023046944,0.0008661259,0.00021393888,0.0004444083
36,1,-0.00022420895,0.00035310703,0.00017362321,0.00039783216
37,1,0.0002052639,0.0005940667,0.00037942705,0.00017416314
38,1,-0.00043739498,0.00038801436,3.7769947e-05,0.00047516494
39,1,-4.109908e-05,0.00076867803,0.0001444178,0.00018551688
40,1,9.3739814e-05,0.00041527412,0.00020122336,0.00010748354
41,1,-4.9455055e-05,0.00041009887,0.00011067944,0.00016013448
42,1,0.00020743247,0.00039347386,0.0003120334,0.00010460093
43,1,2.1336533e-05,0.0004957517,0.0002689524,0.00024761586
44,1,7.059208e-05,0.00039443863,0.000307666,0.00023707392
45,1,-3.8975642e-05,0.0003584527,0.00021507821,0.00025405386
46,1,2.8113256e-05,0.0003041212,0.00012723704,9.912379e-05
47,1,-8.9907146e-05,0.0002029412,0.00012944147,0.00021934861
48,1,-0.00032067305,0.00023914414,0.00014257917,0.00046325222
49,1,-0.00027680688,0.00027412956,7.181081e-05,0.0003486177
50,1,-0.00023502126,0.00034514753,9.205593e-05,0.0003270772
51,1,0.00022861826,0.00025809027,0.00025205474,2.3436483e-05
52,1,0.00013963247,0.00023427252,0.00022578564,8.615318e-05
53,1,4.8718244e-05,0.00020226563,0.0002056233,0.00015690505
54,1,-6.200044e-05,0.00045215068,0.00011615968,0.00017816013
55,1,-0.00045119406,0.00028296356,2.682983e-05,0.00047802387
56,1,-0.00013585913,0.0002738917,9.0271074e-05,0.0002261302
57,1,-0.00014063386,0.00049521937,0.00011658272,0.00025721657
58,1,-0.00024343806,0.00044195063,8.606952e-05,0.00032950757
59,1,-0.00015109613,0.00055299,0.0001383578,0.00028945392
60,1,5.1744766e-05,0.0003937829,0.00020853191,0.00015678714
61,1,-0.00066776195,0.0006425155,5.5853732e-05,0.0007236157
62,1,-0.0010702957,0.0008451743,1.545895e-05,0.0010857546
63,1,-0.0007557743,0.0007866594,1.5950838e-05,0.00077172514
64,1,-0.00044597176,0.0005154095,0.0002310744,0.0006770462
65,1,0.0007323283,0.00090042857,0.0010001427,0.00026781444
66,1,9.650709e-05,0.00078413845,0.0004676296,0.00037112253
67,1,-7.327568e-05,0.00039312086,0.000107591055,0.00018086674
68,1,0.0001395179,0.00018655557,0.00026359185,0.00012407395
69,1,-0.00021269296,0.000690262,0.00020225435,0.0004149473
70,1,-0.0007261416,0.0008964341,0.00010382372,0.00082996534
71,1,-0.00054249045,0.00087931845,7.537348e-05,0.0006178639
72,1,-0.0007504676,0.00067044114,2.7392956e-05,0.0007778605
73,1,-0.00068770343,0.0011143159,0.00014027779,0.0008279812
74,1,-0.0009460131,0.0005859203,6.619054e-05,0.0010122036
75,1,-0.00092738867,0.001294045,7.9978076e-05,0.0010073667
76,1,-5.697593e-05,0.0008751111,0.00045526147,0.0005122374
77,1,-2.0057363e-05,0.00087152555,0.00040087895,0.00042093633
78,1,0.00026032023,0.000632102,0.00082915666,0.00056883646
79,1,-0.00014098671,0.00123709,0.00056920503,0.0007101917
80,1,-5.9169056e-06,0.0009565046,0.00019073347,0.00019665038
81,1,-0.00034142844,0.0008513047,0.00019923503,0.0005406635
82,1,-0.00033443925,0.00047473644,0.00016164908,0.00049608835
83,1,9.50278e-05,0.0007020737,0.00032261177,0.00022758398
84,1,0.000310148,0.0006468541,0.0004900005,0.00017985249
